GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US55009,55009,"Brown County, Wisconsin",21.7,11.6,33.3
0500000US55025,55025,"Dane County, Wisconsin",30,21.5,51.5
0500000US55027,55027,"Dodge County, Wisconsin",11.6,4.7,16.3
0500000US55035,55035,"Eau Claire County, Wisconsin",19.9,12.9,32.8
0500000US55039,55039,"Fond du Lac County, Wisconsin",16.9,7.8,24.7
0500000US55055,55055,"Jefferson County, Wisconsin",16.5,8.6,25.2
0500000US55059,55059,"Kenosha County, Wisconsin",16.9,8.8,25.7
0500000US55063,55063,"La Crosse County, Wisconsin",22,9.8,31.8
0500000US55071,55071,"Manitowoc County, Wisconsin",13.3,5.6,18.9
0500000US55073,55073,"Marathon County, Wisconsin",16.6,9.2,25.8
0500000US55079,55079,"Milwaukee County, Wisconsin",19.3,11.4,30.7
0500000US55087,55087,"Outagamie County, Wisconsin",20.1,9.9,29.9
0500000US55089,55089,"Ozaukee County, Wisconsin",30.8,19.9,50.7
0500000US55097,55097,"Portage County, Wisconsin",24.2,9.1,33.2
0500000US55101,55101,"Racine County, Wisconsin",18.3,9.5,27.8
0500000US55105,55105,"Rock County, Wisconsin",14.7,6.6,21.4
0500000US55109,55109,"St. Croix County, Wisconsin",23.8,11.5,35.3
0500000US55117,55117,"Sheboygan County, Wisconsin",17.6,7.6,25.2
0500000US55127,55127,"Walworth County, Wisconsin",19.1,11.1,30.2
0500000US55131,55131,"Washington County, Wisconsin",22.3,8.7,31.1
0500000US55133,55133,"Waukesha County, Wisconsin",30.4,15.1,45.5
0500000US55139,55139,"Winnebago County, Wisconsin",20.4,9,29.5
0500000US55141,55141,"Wood County, Wisconsin",13.1,7.7,20.7
0500000US56021,56021,"Laramie County, Wyoming",16,11.9,27.9
0500000US56025,56025,"Natrona County, Wyoming",15.8,8.5,24.2
