"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Washtenaw County, MI"	"26161"	26	44130	58.9
	"Wayne County, MI"	"26163"	475	236772	200.6
	"Anoka County, MN"	"27003"	23	51951	44.3
	"Beltrami County, MN"	"27007"	13	4802	270.7 (Unreliable)
	"Carver County, MN"	"27019"	11	16056	68.5 (Unreliable)
	"Dakota County, MN"	"27037"	28	60436	46.3
	"Hennepin County, MN"	"27053"	79	159914	49.4
	"Olmsted County, MN"	"27109"	10	19114	52.3 (Unreliable)
	"Ramsey County, MN"	"27123"	51	63871	79.8
	"St. Louis County, MN"	"27137"	10	24122	41.5 (Unreliable)
	"Scott County, MN"	"27139"	10	22469	44.5 (Unreliable)
	"Washington County, MN"	"27163"	16	37799	42.3 (Unreliable)
	"Winona County, MN"	"27169"	10	5597	178.7 (Unreliable)
	"Wright County, MN"	"27171"	10	19291	51.8 (Unreliable)
	"Bolivar County, MS"	"28011"	15	3806	394.1 (Unreliable)
	"Copiah County, MS"	"28029"	12	3508	342.1 (Unreliable)
	"DeSoto County, MS"	"28033"	22	24810	88.7
	"Forrest County, MS"	"28035"	19	8481	224.0 (Unreliable)
	"Grenada County, MS"	"28043"	10	2812	355.6 (Unreliable)
	"Harrison County, MS"	"28047"	61	25762	236.8
	"Hinds County, MS"	"28049"	70	29037	241.1
	"Jackson County, MS"	"28059"	19	19208	98.9 (Unreliable)
	"Jones County, MS"	"28067"	13	8268	157.2 (Unreliable)
	"Lamar County, MS"	"28073"	11	7775	141.5 (Unreliable)
	"Lauderdale County, MS"	"28075"	27	9832	274.6
	"Lee County, MS"	"28081"	13	11319	114.9 (Unreliable)
	"Leflore County, MS"	"28083"	12	3311	362.4 (Unreliable)
	"Lincoln County, MS"	"28085"	10	4487	222.9 (Unreliable)
	"Lowndes County, MS"	"28087"	14	7499	186.7 (Unreliable)
	"Madison County, MS"	"28089"	11	14286	77.0 (Unreliable)
	"Monroe County, MS"	"28095"	13	4738	274.4 (Unreliable)
	"Neshoba County, MS"	"28099"	12	3540	339.0 (Unreliable)
	"Panola County, MS"	"28107"	14	4461	313.8 (Unreliable)
	"Pike County, MS"	"28113"	11	4703	233.9 (Unreliable)
	"Rankin County, MS"	"28121"	24	20118	119.3
	"Sunflower County, MS"	"28133"	13	3428	379.2 (Unreliable)
	"Warren County, MS"	"28149"	15	6016	249.3 (Unreliable)
	"Washington County, MS"	"28151"	13	5760	225.7 (Unreliable)
	"Winston County, MS"	"28159"	10	2297	435.4 (Unreliable)
	"Boone County, MO"	"29019"	23	19131	120.2
	"Buchanan County, MO"	"29021"	12	11451	104.8 (Unreliable)
	"Butler County, MO"	"29023"	10	5464	183.0 (Unreliable)
	"Camden County, MO"	"29029"	11	5734	191.8 (Unreliable)
	"Cape Girardeau County, MO"	"29031"	11	9269	118.7 (Unreliable)
	"Cass County, MO"	"29037"	11	14068	78.2 (Unreliable)
	"Clay County, MO"	"29047"	19	32443	58.6 (Unreliable)
	"Franklin County, MO"	"29071"	13	14582	89.2 (Unreliable)
	"Greene County, MO"	"29077"	46	33880	135.8
	"Jackson County, MO"	"29095"	126	88712	142.0
	"Jasper County, MO"	"29097"	36	14365	250.6
	"Jefferson County, MO"	"29099"	42	32337	129.9
	"Lincoln County, MO"	"29113"	11	7846	140.2 (Unreliable)
	"Newton County, MO"	"29145"	18	7768	231.7 (Unreliable)
	"Pettis County, MO"	"29159"	11	5304	207.4 (Unreliable)
	"Phelps County, MO"	"29161"	10	5154	194.0 (Unreliable)
	"St. Charles County, MO"	"29183"	37	54262	68.2
	"St. Francois County, MO"	"29187"	13	9166	141.8 (Unreliable)
	"St. Louis County, MO"	"29189"	137	132147	103.7
	"Scott County, MO"	"29201"	12	5094	235.6 (Unreliable)
	"Stone County, MO"	"29209"	12	3982	301.4 (Unreliable)
	"Taney County, MO"	"29213"	17	6735	252.4 (Unreliable)
